Protein	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage	blood plasma|case	blood plasma|control
PNPT1	blood plasma|case-blood plasma|control	0.456611247	1.035698045	-0.785481922	4	0.629654181	0.629654181	NA	0.25	0.25	0	0
CELF1	blood plasma|case-blood plasma|control	0.770831746	1.035698045	-0.785481922	4	0.629734349	0.629734349	NA	0.25	0.25	0	0
ARHGAP18	blood plasma|case-blood plasma|control	2.567741155	1.035698045	-0.785481922	4	0.629857411	0.629857411	NA	0.25	0.25	0	0
USP11	blood plasma|case-blood plasma|control	-1.079642122	1.035698045	-0.785481922	4	0.629888004	0.629888004	NA	0.25	0.25	0	0
UBE2A	blood plasma|case-blood plasma|control	-1.618786463	1.035698045	-0.785481922	4	0.629894132	0.629894132	NA	0.25	0.25	0	0
UTP23	blood plasma|case-blood plasma|control	1.112188824	1.035698045	-0.785481922	4	0.629992414	0.629992414	NA	0.25	0.25	0	0
NSD2	blood plasma|case-blood plasma|control	1.189946141	1.035698045	-0.785481922	4	0.630130324	0.630130324	NA	0.25	0.25	0	0
EIF5A;EIF5AL1	blood plasma|case-blood plasma|control	2.961223778	1.035698045	-0.785481922	4	0.630390187	0.630390187	NA	0.25	0.25	0	0
CHCHD2;CHCHD2P9	blood plasma|case-blood plasma|control	1.906107786	1.035698045	-0.785481922	4	0.630423071	0.630423071	NA	0.25	0.25	0	0
SRM	blood plasma|case-blood plasma|control	-0.215697192	1.035698045	-0.785481922	4	0.630717806	0.630717806	NA	0.25	0.25	0	0
ADA	blood plasma|case-blood plasma|control	0.408056242	1.035698045	-0.785481922	4	0.630845991	0.630845991	NA	0.25	0.25	0	0
NDC1	blood plasma|case-blood plasma|control	-0.204570792	1.035698045	-0.785481922	4	0.631205247	0.631205247	NA	0.25	0.25	0	0
LEMD2	blood plasma|case-blood plasma|control	1.884808228	1.035698045	-0.785481922	4	0.631479003	0.631479003	NA	0.25	0.25	0	0
PHPT1	blood plasma|case-blood plasma|control	1.747292543	1.035698045	-0.785481922	4	0.63149824	0.63149824	NA	0.25	0.25	0	0
BZW1	blood plasma|case-blood plasma|control	0.564853617	1.035698045	-0.785481922	4	0.631999168	0.631999168	NA	0.25	0.25	0	0
LCMT2	blood plasma|case-blood plasma|control	2.19295325	1.035698045	-0.785481922	4	0.632230193	0.632230193	NA	0.25	0.25	0	0
WDR48	blood plasma|case-blood plasma|control	-0.162839161	1.035698045	-0.785481922	4	0.632662714	0.632662714	NA	0.25	0.25	0	0
CDC123	blood plasma|case-blood plasma|control	0.398135938	1.035698045	-0.785481922	4	0.632715766	0.632715766	NA	0.25	0.25	0	0
SLC25A22	blood plasma|case-blood plasma|control	1.1499259	1.035698045	-0.785481922	4	0.632776159	0.632776159	NA	0.25	0.25	0	0
RPLP0;RPLP0P6	blood plasma|case-blood plasma|control	2.342920606	1.035698045	-0.785481922	4	0.633047231	0.633047231	NA	0.25	0.25	0	0
PLEC	blood plasma|case-blood plasma|control	-0.924815735	1.035698045	-0.785481922	4	0.633089979	0.633089979	NA	0.25	0.25	0	0
HABP2	blood plasma|case-blood plasma|control	-0.74099688	1.035698045	-0.785481922	4	0.633243867	0.633243867	NA	0.25	0.25	0	0
PABPC3	blood plasma|case-blood plasma|control	2.301953458	1.035698045	-0.785481922	4	0.633378344	0.633378344	NA	0.25	0.25	0	0
CCT3	blood plasma|case-blood plasma|control	-1.472440606	1.035698045	-0.785481922	4	0.633683501	0.633683501	NA	0.25	0.25	0	0
EHMT2	blood plasma|case-blood plasma|control	0.035081861	1.035698045	-0.785481922	4	0.633760307	0.633760307	NA	0.25	0.25	0	0
PPIA	blood plasma|case-blood plasma|control	-1.180167566	1.035698045	-0.785481922	4	0.633851611	0.633851611	NA	0.25	0.25	0	0
TWF1	blood plasma|case-blood plasma|control	-0.498645463	1.035698045	-0.785481922	4	0.633960381	0.633960381	NA	0.25	0.25	0	0
RNPS1	blood plasma|case-blood plasma|control	2.177693124	1.035698045	-0.785481922	4	0.6342345	0.6342345	NA	0.25	0.25	0	0
MARK2	blood plasma|case-blood plasma|control	0.337344682	1.035698045	-0.785481922	4	0.634242945	0.634242945	NA	0.25	0.25	0	0
PPM1F	blood plasma|case-blood plasma|control	-0.183934238	1.035698045	-0.785481922	4	0.634253759	0.634253759	NA	0.25	0.25	0	0
UFD1	blood plasma|case-blood plasma|control	0.78452289	1.035698045	-0.785481922	4	0.634977589	0.634977589	NA	0.25	0.25	0	0
GNL3	blood plasma|case-blood plasma|control	-2.285000178	1.035698045	-0.785481922	4	0.63497804	0.63497804	NA	0.25	0.25	0	0
JAGN1	blood plasma|case-blood plasma|control	-1.524651603	1.035698045	-0.785481922	4	0.635051257	0.635051257	NA	0.25	0.25	0	0
DRAP1	blood plasma|case-blood plasma|control	0.355008704	1.035698045	-0.785481922	4	0.63514366	0.63514366	NA	0.25	0.25	0	0
WDHD1	blood plasma|case-blood plasma|control	-2.389277812	1.035698045	-0.785481922	4	0.63514591	0.63514591	NA	0.25	0.25	0	0
MTDH	blood plasma|case-blood plasma|control	-1.506305159	1.035698045	-0.785481922	4	0.635157125	0.635157125	NA	0.25	0.25	0	0
FLAD1	blood plasma|case-blood plasma|control	-0.259073005	1.035698045	-0.785481922	4	0.635210304	0.635210304	NA	0.25	0.25	0	0
SRRT	blood plasma|case-blood plasma|control	0.373723087	1.035698045	-0.785481922	4	0.635225499	0.635225499	NA	0.25	0.25	0	0
FAM210A	blood plasma|case-blood plasma|control	-0.609289914	1.035698045	-0.785481922	4	0.635430593	0.635430593	NA	0.25	0.25	0	0
TBC1D4	blood plasma|case-blood plasma|control	-0.521590358	1.035698045	-0.785481922	4	0.635504507	0.635504507	NA	0.25	0.25	0	0
H1-5	blood plasma|case-blood plasma|control	0.567180228	1.035698045	-0.785481922	4	0.635574864	0.635574864	NA	0.25	0.25	0	0
NDUFAB1	blood plasma|case-blood plasma|control	-0.581917697	1.035698045	-0.785481922	4	0.635660912	0.635660912	NA	0.25	0.25	0	0
ILK	blood plasma|case-blood plasma|control	1.325938656	1.035698045	-0.785481922	4	0.636242851	0.636242851	NA	0.25	0.25	0	0
UBAP2L	blood plasma|case-blood plasma|control	-1.807480006	1.035698045	-0.785481922	4	0.636481005	0.636481005	NA	0.25	0.25	0	0
SEC13	blood plasma|case-blood plasma|control	2.265077356	1.035698045	-0.785481922	4	0.636683271	0.636683271	NA	0.25	0.25	0	0
MOCS3	blood plasma|case-blood plasma|control	0.274246069	1.035698045	-0.785481922	4	0.637168443	0.637168443	NA	0.25	0.25	0	0
PPP1R11	blood plasma|case-blood plasma|control	-1.12900385	1.035698045	-0.785481922	4	0.637898028	0.637898028	NA	0.25	0.25	0	0
AMPD2	blood plasma|case-blood plasma|control	-0.205867676	1.035698045	-0.785481922	4	0.637908262	0.637908262	NA	0.25	0.25	0	0
POLR3H	blood plasma|case-blood plasma|control	-0.749252058	1.035698045	-0.785481922	4	0.63797593	0.63797593	NA	0.25	0.25	0	0
PRMT7	blood plasma|case-blood plasma|control	-1.904322965	1.035698045	-0.785481922	4	0.638281598	0.638281598	NA	0.25	0.25	0	0
MMGT1	blood plasma|case-blood plasma|control	2.702602699	1.035698045	-0.785481922	4	0.638374174	0.638374174	NA	0.25	0.25	0	0
ASB9	blood plasma|case-blood plasma|control	1.760403548	1.035698045	-0.785481922	4	0.638381232	0.638381232	NA	0.25	0.25	0	0
FKBP5	blood plasma|case-blood plasma|control	-0.24129851	1.035698045	-0.785481922	4	0.638573133	0.638573133	NA	0.25	0.25	0	0
PSCA	blood plasma|case-blood plasma|control	-2.343628298	1.035698045	-0.785481922	4	0.638659375	0.638659375	NA	0.25	0.25	0	0
PDIA6	blood plasma|case-blood plasma|control	-1.522673741	1.035698045	-0.785481922	4	0.638663029	0.638663029	NA	0.25	0.25	0	0
TPD52L2	blood plasma|case-blood plasma|control	-0.610626417	1.035698045	-0.785481922	4	0.638869886	0.638869886	NA	0.25	0.25	0	0
OGFOD1	blood plasma|case-blood plasma|control	-1.223673878	1.035698045	-0.785481922	4	0.639150615	0.639150615	NA	0.25	0.25	0	0
RPS10;RPS10P5	blood plasma|case-blood plasma|control	0.895356449	1.035698045	-0.785481922	4	0.639151987	0.639151987	NA	0.25	0.25	0	0
RPS27L	blood plasma|case-blood plasma|control	0.338524359	1.035698045	-0.785481922	4	0.639508857	0.639508857	NA	0.25	0.25	0	0
SH3GL1	blood plasma|case-blood plasma|control	-3.112270027	1.035698045	-0.785481922	4	0.640044913	0.640044913	NA	0.25	0.25	0	0
NAXE	blood plasma|case-blood plasma|control	3.031758228	1.035698045	-0.785481922	4	0.640096674	0.640096674	NA	0.25	0.25	0	0
PGK1	blood plasma|case-blood plasma|control	-1.62365353	1.035698045	-0.785481922	4	0.640240231	0.640240231	NA	0.25	0.25	0	0
ZNF770	blood plasma|case-blood plasma|control	1.453330167	1.035698045	-0.785481922	4	0.640583446	0.640583446	NA	0.25	0.25	0	0
BAIAP2L2	blood plasma|case-blood plasma|control	2.991791212	1.035698045	-0.785481922	4	0.64076926	0.64076926	NA	0.25	0.25	0	0
SLC38A2	blood plasma|case-blood plasma|control	0.114462908	1.035698045	-0.785481922	4	0.640784437	0.640784437	NA	0.25	0.25	0	0
ERI3	blood plasma|case-blood plasma|control	-0.899930655	1.035698045	-0.785481922	4	0.640923573	0.640923573	NA	0.25	0.25	0	0
CAPRIN1	blood plasma|case-blood plasma|control	-0.315524601	1.035698045	-0.785481922	4	0.641017025	0.641017025	NA	0.25	0.25	0	0
SERBP1	blood plasma|case-blood plasma|control	2.601973788	1.035698045	-0.785481922	4	0.641265919	0.641265919	NA	0.25	0.25	0	0
ME2	blood plasma|case-blood plasma|control	-2.747141085	1.035698045	-0.785481922	4	0.641391895	0.641391895	NA	0.25	0.25	0	0
CMTR1	blood plasma|case-blood plasma|control	0.704390139	1.035698045	-0.785481922	4	0.641565826	0.641565826	NA	0.25	0.25	0	0
RBM12B	blood plasma|case-blood plasma|control	-0.703467263	1.035698045	-0.785481922	4	0.641687902	0.641687902	NA	0.25	0.25	0	0
DYNLL2	blood plasma|case-blood plasma|control	0.944880784	1.035698045	-0.785481922	4	0.641784521	0.641784521	NA	0.25	0.25	0	0
NUDT21	blood plasma|case-blood plasma|control	2.988672442	1.035698045	-0.785481922	4	0.641791732	0.641791732	NA	0.25	0.25	0	0
PRKAR1A	blood plasma|case-blood plasma|control	-0.223000661	1.035698045	-0.785481922	4	0.641821855	0.641821855	NA	0.25	0.25	0	0
NIT1	blood plasma|case-blood plasma|control	0.342340656	1.035698045	-0.785481922	4	0.641969009	0.641969009	NA	0.25	0.25	0	0
NUP37	blood plasma|case-blood plasma|control	-0.133927361	1.035698045	-0.785481922	4	0.642124259	0.642124259	NA	0.25	0.25	0	0
UROD	blood plasma|case-blood plasma|control	0.142527787	1.035698045	-0.785481922	4	0.642197479	0.642197479	NA	0.25	0.25	0	0
IGF2R	blood plasma|case-blood plasma|control	-1.84142843	1.035698045	-0.785481922	4	0.642318926	0.642318926	NA	0.25	0.25	0	0
UAP1	blood plasma|case-blood plasma|control	1.06056592	1.035698045	-0.785481922	4	0.642498401	0.642498401	NA	0.25	0.25	0	0
SMC5	blood plasma|case-blood plasma|control	1.118114541	1.035698045	-0.785481922	4	0.642547888	0.642547888	NA	0.25	0.25	0	0
CHMP6	blood plasma|case-blood plasma|control	1.529251433	1.035698045	-0.785481922	4	0.642621544	0.642621544	NA	0.25	0.25	0	0
RCN2	blood plasma|case-blood plasma|control	-0.594747902	1.035698045	-0.785481922	4	0.642730991	0.642730991	NA	0.25	0.25	0	0
ARL8B;ARL8A	blood plasma|case-blood plasma|control	0.531657804	1.035698045	-0.785481922	4	0.642731892	0.642731892	NA	0.25	0.25	0	0
TTN	blood plasma|case-blood plasma|control	0.938365097	1.035698045	-0.785481922	4	0.642740022	0.642740022	NA	0.25	0.25	0	0
DRAP1	blood plasma|case-blood plasma|control	0.637917995	1.035698045	-0.785481922	4	0.642808461	0.642808461	NA	0.25	0.25	0	0
MRPS12	blood plasma|case-blood plasma|control	2.474026429	1.035698045	-0.785481922	4	0.642883573	0.642883573	NA	0.25	0.25	0	0
NIFK	blood plasma|case-blood plasma|control	2.399667568	1.035698045	-0.785481922	4	0.643152907	0.643152907	NA	0.25	0.25	0	0
PIK3C3	blood plasma|case-blood plasma|control	0.303907187	1.035698045	-0.785481922	4	0.6432967	0.6432967	NA	0.25	0.25	0	0
PBX1	blood plasma|case-blood plasma|control	0.483324702	1.035698045	-0.785481922	4	0.643506977	0.643506977	NA	0.25	0.25	0	0
SHFL	blood plasma|case-blood plasma|control	-0.557437402	1.035698045	-0.785481922	4	0.643696118	0.643696118	NA	0.25	0.25	0	0
SPG21	blood plasma|case-blood plasma|control	-0.915251917	1.035698045	-0.785481922	4	0.644265936	0.644265936	NA	0.25	0.25	0	0
TPP1	blood plasma|case-blood plasma|control	-0.711939383	1.035698045	-0.785481922	4	0.644309172	0.644309172	NA	0.25	0.25	0	0
PPA1	blood plasma|case-blood plasma|control	-0.228167064	1.035698045	-0.785481922	4	0.644358772	0.644358772	NA	0.25	0.25	0	0
UPF3B	blood plasma|case-blood plasma|control	-1.419508751	1.035698045	-0.785481922	4	0.644440503	0.644440503	NA	0.25	0.25	0	0
NUP93	blood plasma|case-blood plasma|control	-0.819941229	1.035698045	-0.785481922	4	0.644551139	0.644551139	NA	0.25	0.25	0	0
MRPL38	blood plasma|case-blood plasma|control	-1.362225719	1.035698045	-0.785481922	4	0.644643386	0.644643386	NA	0.25	0.25	0	0
UBXN1	blood plasma|case-blood plasma|control	-1.157697842	1.035698045	-0.785481922	4	0.644759125	0.644759125	NA	0.25	0.25	0	0
TRAPPC3	blood plasma|case-blood plasma|control	0.633848953	1.035698045	-0.785481922	4	0.645258812	0.645258812	NA	0.25	0.25	0	0
COPS5	blood plasma|case-blood plasma|control	2.430780924	1.035698045	-0.785481922	4	0.645517927	0.645517927	NA	0.25	0.25	0	0
PFKP	blood plasma|case-blood plasma|control	2.406068299	1.035698045	-0.785481922	4	0.646013229	0.646013229	NA	0.25	0.25	0	0
KANK2;KANK1	blood plasma|case-blood plasma|control	-0.798471731	1.035698045	-0.785481922	4	0.646170649	0.646170649	NA	0.25	0.25	0	0
FDFT1	blood plasma|case-blood plasma|control	-0.482583122	1.035698045	-0.785481922	4	0.64618123	0.64618123	NA	0.25	0.25	0	0
DHX30	blood plasma|case-blood plasma|control	0.483253679	1.035698045	-0.785481922	4	0.646282034	0.646282034	NA	0.25	0.25	0	0
SLFN5;SLFN12;SLFN12L	blood plasma|case-blood plasma|control	-0.309860279	1.035698045	-0.785481922	4	0.646283462	0.646283462	NA	0.25	0.25	0	0
MRPS16	blood plasma|case-blood plasma|control	0.510388436	1.035698045	-0.785481922	4	0.64634276	0.64634276	NA	0.25	0.25	0	0
TUBA1C	blood plasma|case-blood plasma|control	1.569042647	1.035698045	-0.785481922	4	0.646508834	0.646508834	NA	0.25	0.25	0	0
RRP15	blood plasma|case-blood plasma|control	2.811914205	1.035698045	-0.785481922	4	0.646527923	0.646527923	NA	0.25	0.25	0	0
EML4	blood plasma|case-blood plasma|control	-0.994864178	1.035698045	-0.785481922	4	0.646605338	0.646605338	NA	0.25	0.25	0	0
NCEH1	blood plasma|case-blood plasma|control	-0.436896466	1.035698045	-0.785481922	4	0.646617715	0.646617715	NA	0.25	0.25	0	0
MRPL52	blood plasma|case-blood plasma|control	0.944334755	1.035698045	-0.785481922	4	0.646686761	0.646686761	NA	0.25	0.25	0	0
SLC16A1	blood plasma|case-blood plasma|control	-1.600078746	1.035698045	-0.785481922	4	0.646870534	0.646870534	NA	0.25	0.25	0	0
BRAT1	blood plasma|case-blood plasma|control	1.52628232	1.035698045	-0.785481922	4	0.647092739	0.647092739	NA	0.25	0.25	0	0
NDUFA8	blood plasma|case-blood plasma|control	-0.269740428	1.035698045	-0.785481922	4	0.64709679	0.64709679	NA	0.25	0.25	0	0
MECP2	blood plasma|case-blood plasma|control	0.583774852	1.035698045	-0.785481922	4	0.647150833	0.647150833	NA	0.25	0.25	0	0
SUDS3	blood plasma|case-blood plasma|control	-0.146773436	1.035698045	-0.785481922	4	0.647172551	0.647172551	NA	0.25	0.25	0	0
SRP14	blood plasma|case-blood plasma|control	0.578640139	1.035698045	-0.785481922	4	0.647202697	0.647202697	NA	0.25	0.25	0	0
DIP2B	blood plasma|case-blood plasma|control	-1.705000218	1.035698045	-0.785481922	4	0.64731549	0.64731549	NA	0.25	0.25	0	0
THG1L	blood plasma|case-blood plasma|control	-1.113828647	1.035698045	-0.785481922	4	0.647402479	0.647402479	NA	0.25	0.25	0	0
TOM1L2	blood plasma|case-blood plasma|control	2.307520179	1.035698045	-0.785481922	4	0.647476974	0.647476974	NA	0.25	0.25	0	0
GFUS	blood plasma|case-blood plasma|control	-1.171152971	1.035698045	-0.785481922	4	0.647516009	0.647516009	NA	0.25	0.25	0	0
SLX9	blood plasma|case-blood plasma|control	2.640065473	1.035698045	-0.785481922	4	0.647574628	0.647574628	NA	0.25	0.25	0	0
POLR1G	blood plasma|case-blood plasma|control	2.892165979	1.035698045	-0.785481922	4	0.647739	0.647739	NA	0.25	0.25	0	0
LARP1	blood plasma|case-blood plasma|control	0.554492992	1.035698045	-0.785481922	4	0.647870187	0.647870187	NA	0.25	0.25	0	0
CLCC1	blood plasma|case-blood plasma|control	1.755456959	1.035698045	-0.785481922	4	0.647883519	0.647883519	NA	0.25	0.25	0	0
PIGK	blood plasma|case-blood plasma|control	-1.668920293	1.035698045	-0.785481922	4	0.647961266	0.647961266	NA	0.25	0.25	0	0
MTHFD2	blood plasma|case-blood plasma|control	-2.398358671	1.035698045	-0.785481922	4	0.64799135	0.64799135	NA	0.25	0.25	0	0
VEZF1	blood plasma|case-blood plasma|control	0.631804713	1.035698045	-0.785481922	4	0.648084147	0.648084147	NA	0.25	0.25	0	0
ANKZF1	blood plasma|case-blood plasma|control	-0.834577424	1.035698045	-0.785481922	4	0.648100252	0.648100252	NA	0.25	0.25	0	0
GLOD4	blood plasma|case-blood plasma|control	-0.053036963	1.035698045	-0.785481922	4	0.648216439	0.648216439	NA	0.25	0.25	0	0
PCYT2	blood plasma|case-blood plasma|control	-0.60646719	1.035698045	-0.785481922	4	0.648381465	0.648381465	NA	0.25	0.25	0	0
MCU	blood plasma|case-blood plasma|control	-1.816494408	1.035698045	-0.785481922	4	0.648472947	0.648472947	NA	0.25	0.25	0	0
EMG1	blood plasma|case-blood plasma|control	-0.822057208	1.035698045	-0.785481922	4	0.648653003	0.648653003	NA	0.25	0.25	0	0
GNPNAT1	blood plasma|case-blood plasma|control	-0.71333465	1.035698045	-0.785481922	4	0.648676654	0.648676654	NA	0.25	0.25	0	0
MAGOHB;MAGOH	blood plasma|case-blood plasma|control	-2.716661382	1.035698045	-0.785481922	4	0.648702142	0.648702142	NA	0.25	0.25	0	0
MARS1	blood plasma|case-blood plasma|control	0.339213207	1.035698045	-0.785481922	4	0.648714003	0.648714003	NA	0.25	0.25	0	0
RAB9A	blood plasma|case-blood plasma|control	0.646096467	1.035698045	-0.785481922	4	0.648750494	0.648750494	NA	0.25	0.25	0	0
SP1	blood plasma|case-blood plasma|control	-1.142117429	1.035698045	-0.785481922	4	0.648903844	0.648903844	NA	0.25	0.25	0	0
XPNPEP1	blood plasma|case-blood plasma|control	1.659852888	1.035698045	-0.785481922	4	0.649020156	0.649020156	NA	0.25	0.25	0	0
RBM4	blood plasma|case-blood plasma|control	-0.050260386	1.035698045	-0.785481922	4	0.649028713	0.649028713	NA	0.25	0.25	0	0
FOCAD	blood plasma|case-blood plasma|control	1.508812858	1.035698045	-0.785481922	4	0.649355898	0.649355898	NA	0.25	0.25	0	0
CAPG	blood plasma|case-blood plasma|control	-1.377243293	1.035698045	-0.785481922	4	0.649605984	0.649605984	NA	0.25	0.25	0	0
ATG4B	blood plasma|case-blood plasma|control	0.344825955	1.035698045	-0.785481922	4	0.649717273	0.649717273	NA	0.25	0.25	0	0
MNAT1	blood plasma|case-blood plasma|control	0.83067786	1.035698045	-0.785481922	4	0.649733578	0.649733578	NA	0.25	0.25	0	0
RPS26;RPS26P11	blood plasma|case-blood plasma|control	1.079317695	1.035698045	-0.785481922	4	0.650005536	0.650005536	NA	0.25	0.25	0	0
KDM1A	blood plasma|case-blood plasma|control	-1.216604585	1.035698045	-0.785481922	4	0.650067955	0.650067955	NA	0.25	0.25	0	0
BROX	blood plasma|case-blood plasma|control	2.427689389	1.035698045	-0.785481922	4	0.650094712	0.650094712	NA	0.25	0.25	0	0
MCM2	blood plasma|case-blood plasma|control	1.504897672	1.035698045	-0.785481922	4	0.650470742	0.650470742	NA	0.25	0.25	0	0
UBE3C	blood plasma|case-blood plasma|control	1.241517667	1.035698045	-0.785481922	4	0.650501097	0.650501097	NA	0.25	0.25	0	0
DHODH	blood plasma|case-blood plasma|control	-1.51962017	1.035698045	-0.785481922	4	0.650668626	0.650668626	NA	0.25	0.25	0	0
PDCD10	blood plasma|case-blood plasma|control	1.833589527	1.035698045	-0.785481922	4	0.650785571	0.650785571	NA	0.25	0.25	0	0
CISD2	blood plasma|case-blood plasma|control	0.180059431	1.035698045	-0.785481922	4	0.651008753	0.651008753	NA	0.25	0.25	0	0
TMX2	blood plasma|case-blood plasma|control	1.209292146	1.035698045	-0.785481922	4	0.651054955	0.651054955	NA	0.25	0.25	0	0
KIF20A	blood plasma|case-blood plasma|control	-2.367941177	1.035698045	-0.785481922	4	0.651104491	0.651104491	NA	0.25	0.25	0	0
NCKIPSD	blood plasma|case-blood plasma|control	2.92622093	1.035698045	-0.785481922	4	0.65163811	0.65163811	NA	0.25	0.25	0	0
COG4	blood plasma|case-blood plasma|control	-0.222251792	1.035698045	-0.785481922	4	0.651698293	0.651698293	NA	0.25	0.25	0	0
UBE2N;UBE2NL	blood plasma|case-blood plasma|control	1.386873025	1.035698045	-0.785481922	4	0.651805605	0.651805605	NA	0.25	0.25	0	0
NCAPD3	blood plasma|case-blood plasma|control	3.041191693	1.035698045	-0.785481922	4	0.652017428	0.652017428	NA	0.25	0.25	0	0
ZHX1	blood plasma|case-blood plasma|control	-0.280790139	1.035698045	-0.785481922	4	0.652067998	0.652067998	NA	0.25	0.25	0	0
GCC2	blood plasma|case-blood plasma|control	-2.726894347	1.035698045	-0.785481922	4	0.652158061	0.652158061	NA	0.25	0.25	0	0
NEK9	blood plasma|case-blood plasma|control	0.063905491	1.035698045	-0.785481922	4	0.652170976	0.652170976	NA	0.25	0.25	0	0
MRPL49	blood plasma|case-blood plasma|control	-1.126841519	1.035698045	-0.785481922	4	0.652259759	0.652259759	NA	0.25	0.25	0	0
GTPBP10	blood plasma|case-blood plasma|control	1.408294535	1.035698045	-0.785481922	4	0.652373096	0.652373096	NA	0.25	0.25	0	0
GLRX	blood plasma|case-blood plasma|control	0.451451664	1.035698045	-0.785481922	4	0.652410765	0.652410765	NA	0.25	0.25	0	0
AIMP1	blood plasma|case-blood plasma|control	0.480713013	1.035698045	-0.785481922	4	0.652411187	0.652411187	NA	0.25	0.25	0	0
HEXB	blood plasma|case-blood plasma|control	1.1014956	1.035698045	-0.785481922	4	0.65241335	0.65241335	NA	0.25	0.25	0	0
IQCA1L	blood plasma|case-blood plasma|control	2.095971544	1.035698045	-0.785481922	4	0.652528229	0.652528229	NA	0.25	0.25	0	0
PRPF3	blood plasma|case-blood plasma|control	-1.335411952	1.035698045	-0.785481922	4	0.652715033	0.652715033	NA	0.25	0.25	0	0
C7orf50	blood plasma|case-blood plasma|control	-0.335414396	1.035698045	-0.785481922	4	0.652790224	0.652790224	NA	0.25	0.25	0	0
HERC6	blood plasma|case-blood plasma|control	-0.694076826	1.035698045	-0.785481922	4	0.65279712	0.65279712	NA	0.25	0.25	0	0
EIF6	blood plasma|case-blood plasma|control	0.948893468	1.035698045	-0.785481922	4	0.65288681	0.65288681	NA	0.25	0.25	0	0
YTHDF2	blood plasma|case-blood plasma|control	0.510649063	1.035698045	-0.785481922	4	0.653123008	0.653123008	NA	0.25	0.25	0	0
SRSF5	blood plasma|case-blood plasma|control	-0.808120978	1.035698045	-0.785481922	4	0.65342855	0.65342855	NA	0.25	0.25	0	0
MTCH1	blood plasma|case-blood plasma|control	2.033131377	1.035698045	-0.785481922	4	0.653546492	0.653546492	NA	0.25	0.25	0	0
AKR1D1	blood plasma|case-blood plasma|control	1.201281402	1.035698045	-0.785481922	4	0.653593782	0.653593782	NA	0.25	0.25	0	0
GAMT	blood plasma|case-blood plasma|control	-0.111862565	1.035698045	-0.785481922	4	0.653961954	0.653961954	NA	0.25	0.25	0	0
HYPK	blood plasma|case-blood plasma|control	-0.720459943	1.035698045	-0.785481922	4	0.653976177	0.653976177	NA	0.25	0.25	0	0
PFDN6	blood plasma|case-blood plasma|control	0.975630538	1.035698045	-0.785481922	4	0.654014464	0.654014464	NA	0.25	0.25	0	0
LXN	blood plasma|case-blood plasma|control	2.252287537	1.035698045	-0.785481922	4	0.654189409	0.654189409	NA	0.25	0.25	0	0
MRPL23	blood plasma|case-blood plasma|control	0.143739094	1.035698045	-0.785481922	4	0.654667778	0.654667778	NA	0.25	0.25	0	0
CWC27	blood plasma|case-blood plasma|control	1.160426243	1.035698045	-0.785481922	4	0.654672034	0.654672034	NA	0.25	0.25	0	0
OTULIN	blood plasma|case-blood plasma|control	-0.336595483	1.035698045	-0.785481922	4	0.654725445	0.654725445	NA	0.25	0.25	0	0
PPP1R10	blood plasma|case-blood plasma|control	-0.785684782	1.035698045	-0.785481922	4	0.654977676	0.654977676	NA	0.25	0.25	0	0
TP53BP2	blood plasma|case-blood plasma|control	-0.102574925	1.035698045	-0.785481922	4	0.655005691	0.655005691	NA	0.25	0.25	0	0
FLNA	blood plasma|case-blood plasma|control	2.021448747	1.035698045	-0.785481922	4	0.655023268	0.655023268	NA	0.25	0.25	0	0
DR1	blood plasma|case-blood plasma|control	0.754021991	1.035698045	-0.785481922	4	0.65516662	0.65516662	NA	0.25	0.25	0	0
NSDHL	blood plasma|case-blood plasma|control	0.73725802	1.035698045	-0.785481922	4	0.65525455	0.65525455	NA	0.25	0.25	0	0
ZC3H8	blood plasma|case-blood plasma|control	1.372143075	1.035698045	-0.785481922	4	0.65542371	0.65542371	NA	0.25	0.25	0	0
NAGLU	blood plasma|case-blood plasma|control	1.947777182	1.035698045	-0.785481922	4	0.65558438	0.65558438	NA	0.25	0.25	0	0
ATP6AP1	blood plasma|case-blood plasma|control	-0.523837416	1.035698045	-0.785481922	4	0.655594178	0.655594178	NA	0.25	0.25	0	0
NEDD1	blood plasma|case-blood plasma|control	0.262016693	1.035698045	-0.785481922	4	0.655602118	0.655602118	NA	0.25	0.25	0	0
NF1	blood plasma|case-blood plasma|control	-1.669537561	1.035698045	-0.785481922	4	0.65581942	0.65581942	NA	0.25	0.25	0	0
UTP15	blood plasma|case-blood plasma|control	1.222983279	1.035698045	-0.785481922	4	0.65591931	0.65591931	NA	0.25	0.25	0	0
PSMD7	blood plasma|case-blood plasma|control	-1.155337388	1.035698045	-0.785481922	4	0.656403548	0.656403548	NA	0.25	0.25	0	0
ATM	blood plasma|case-blood plasma|control	2.981673584	1.035698045	-0.785481922	4	0.656554598	0.656554598	NA	0.25	0.25	0	0
TBL3	blood plasma|case-blood plasma|control	0.809518508	1.035698045	-0.785481922	4	0.656568113	0.656568113	NA	0.25	0.25	0	0
RPL7L1	blood plasma|case-blood plasma|control	2.608023533	1.035698045	-0.785481922	4	0.656633508	0.656633508	NA	0.25	0.25	0	0
RAC1;RAC3	blood plasma|case-blood plasma|control	-1.019363106	1.035698045	-0.785481922	4	0.656933126	0.656933126	NA	0.25	0.25	0	0
